QP/JOB ROLE NAME,EMBEDDING_PATH
Loading Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Loading Supervisor.pt
Loin Loom Weaver,./utils/embeddings/PMKVY_JobRoles/data/Loin Loom Weaver.pt
LPG Mechanic,./utils/embeddings/PMKVY_JobRoles/data/LPG Mechanic.pt
Machine Learning (ML) Engineer,./utils/embeddings/PMKVY_JobRoles/data/Machine Learning (ML) Engineer.pt
Machine Operator - Injection Moulding Plastic,./utils/embeddings/PMKVY_JobRoles/data/Machine Operator - Injection Moulding Plastic.pt
Machine Operator - Sanitary Napkin,./utils/embeddings/PMKVY_JobRoles/data/Machine Operator - Sanitary Napkin.pt
Machine Operator - Stretch Blow Moulding Plastic,./utils/embeddings/PMKVY_JobRoles/data/Machine Operator - Stretch Blow Moulding Plastic.pt
Machine Operator -CNC Turning of Plastic (Lathe),./utils/embeddings/PMKVY_JobRoles/data/Machine Operator -CNC Turning of Plastic (Lathe).pt
Machine Operator – CNC Milling of Plastic,./utils/embeddings/PMKVY_JobRoles/data/Machine Operator – CNC Milling of Plastic.pt
Maintenance Technician,./utils/embeddings/PMKVY_JobRoles/data/Maintenance Technician.pt
Make-up Artist,./utils/embeddings/PMKVY_JobRoles/data/Make-up Artist.pt
Manual Metal Arc Welding-Shielded Metal Arc Welding Welder,./utils/embeddings/PMKVY_JobRoles/data/Manual Metal Arc Welding-Shielded Metal Arc Welding Welder.pt
Mason Concrete,./utils/embeddings/PMKVY_JobRoles/data/Mason Concrete.pt
Mason Tiling,./utils/embeddings/PMKVY_JobRoles/data/Mason Tiling.pt
Master Gardener,./utils/embeddings/PMKVY_JobRoles/data/Master Gardener.pt
Master Wellness Neurotherapist,./utils/embeddings/PMKVY_JobRoles/data/Master Wellness Neurotherapist.pt
Material Handling Equipment (MHE) Maintenance Technician,./utils/embeddings/PMKVY_JobRoles/data/Material Handling Equipment (MHE) Maintenance Technician.pt
Mechanic (Electrical- Electronics-Instrumentation),./utils/embeddings/PMKVY_JobRoles/data/Mechanic (Electrical- Electronics-Instrumentation).pt
Mechanic (Engine),./utils/embeddings/PMKVY_JobRoles/data/Mechanic (Engine).pt
Mechanic (Hydraulic),./utils/embeddings/PMKVY_JobRoles/data/Mechanic (Hydraulic).pt
Mechanic - Belt Conveyor,./utils/embeddings/PMKVY_JobRoles/data/Mechanic - Belt Conveyor.pt
Mechanic- Hydraulic & Pneumatic System,./utils/embeddings/PMKVY_JobRoles/data/Mechanic- Hydraulic & Pneumatic System.pt
Mechanical Engineering & Plumbing General Manager,./utils/embeddings/PMKVY_JobRoles/data/Mechanical Engineering & Plumbing General Manager.pt
Mechanical Fitter Electronics,./utils/embeddings/PMKVY_JobRoles/data/Mechanical Fitter Electronics.pt
Mechatronics Designer & System Integrator,./utils/embeddings/PMKVY_JobRoles/data/Mechatronics Designer & System Integrator.pt
Mechatronics Maintenance Specialist,./utils/embeddings/PMKVY_JobRoles/data/Mechatronics Maintenance Specialist.pt
Medical Equipment Assistant (Basic Clinical Equipment),./utils/embeddings/PMKVY_JobRoles/data/Medical Equipment Assistant (Basic Clinical Equipment).pt
Medical Sales Representative,./utils/embeddings/PMKVY_JobRoles/data/Medical Sales Representative.pt
Medicinal and Aromatic Plants Grower,./utils/embeddings/PMKVY_JobRoles/data/Medicinal and Aromatic Plants Grower.pt
Merchandiser,./utils/embeddings/PMKVY_JobRoles/data/Merchandiser.pt
Merchant Relationship Executive,./utils/embeddings/PMKVY_JobRoles/data/Merchant Relationship Executive.pt
Metal Inert Gas - Metal Active Gas -Gas Metal Arc Welder (MIG-MAG-GMAW),./utils/embeddings/PMKVY_JobRoles/data/Metal Inert Gas - Metal Active Gas -Gas Metal Arc Welder (MIG-MAG-GMAW).pt
Metal Setter (Basic),./utils/embeddings/PMKVY_JobRoles/data/Metal Setter (Basic).pt
Micro-Irrigation Technician,./utils/embeddings/PMKVY_JobRoles/data/Micro-Irrigation Technician.pt
Microfinace Executive,./utils/embeddings/PMKVY_JobRoles/data/Microfinace Executive.pt
Milk Procurement & Input Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Milk Procurement & Input Supervisor.pt
Mine Electrician,./utils/embeddings/PMKVY_JobRoles/data/Mine Electrician.pt
Mine Mechanic-Fitter,./utils/embeddings/PMKVY_JobRoles/data/Mine Mechanic-Fitter.pt
Mine Shotfirer-Blaster,./utils/embeddings/PMKVY_JobRoles/data/Mine Shotfirer-Blaster.pt
Mine Welder,./utils/embeddings/PMKVY_JobRoles/data/Mine Welder.pt
Mineral Processing Operator,./utils/embeddings/PMKVY_JobRoles/data/Mineral Processing Operator.pt
Mining Mate-Sirdar,./utils/embeddings/PMKVY_JobRoles/data/Mining Mate-Sirdar.pt
MIS Data Analyst – Financial Services,./utils/embeddings/PMKVY_JobRoles/data/MIS Data Analyst – Financial Services.pt
Mobile Device Management Analyst,./utils/embeddings/PMKVY_JobRoles/data/Mobile Device Management Analyst.pt
Mobile Phone Hardware Repair Technician,./utils/embeddings/PMKVY_JobRoles/data/Mobile Phone Hardware Repair Technician.pt
Molding Process Engineer,./utils/embeddings/PMKVY_JobRoles/data/Molding Process Engineer.pt
Motor & Controller Repairing Technician,./utils/embeddings/PMKVY_JobRoles/data/Motor & Controller Repairing Technician.pt
Motor and Controller Design Engineer,./utils/embeddings/PMKVY_JobRoles/data/Motor and Controller Design Engineer.pt
"Mulberry cocoon sorter, drier cum grader","./utils/embeddings/PMKVY_JobRoles/data/Mulberry cocoon sorter, drier cum grader.pt"
Multi - Purpose Associate,./utils/embeddings/PMKVY_JobRoles/data/Multi - Purpose Associate.pt
Multi Skill Technician (Electrical),./utils/embeddings/PMKVY_JobRoles/data/Multi Skill Technician (Electrical).pt
Multipurpose Assistant- Furniture Production and Installation- Installation,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Installation.pt
"Multipurpose Assistant- Furniture Production and Installation- Machine Shop, Installation","./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Machine Shop, Installation.pt"
Multipurpose Assistant- Furniture Production and Installation- Machine Shop,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Machine Shop.pt
Multipurpose Assistant- Furniture Production and Installation- Packaging,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Packaging.pt
Multipurpose Assistant- Furniture Production and Installation- Storekeeping & Warehousing,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Storekeeping & Warehousing.pt
Multipurpose Assistant- Furniture Production and Installation- Surface Finishing,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Surface Finishing.pt
Multipurpose Assistant- Furniture Production and Installation- Upholstery,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Upholstery.pt
"Multipurpose Assistant- Furniture Production and Installation- Wood Workshop, Installation","./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Wood Workshop, Installation.pt"
Multipurpose Assistant- Furniture Production and Installation- Wood Workshop,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Assistant- Furniture Production and Installation- Wood Workshop.pt
Multipurpose Draughtsperson (Design and Build)- Furniture Design,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Draughtsperson (Design and Build)- Furniture Design.pt
Multipurpose Draughtsperson (Design and Build)- Interior Design,./utils/embeddings/PMKVY_JobRoles/data/Multipurpose Draughtsperson (Design and Build)- Interior Design.pt
Music Programmer,./utils/embeddings/PMKVY_JobRoles/data/Music Programmer.pt
Nail Technician,./utils/embeddings/PMKVY_JobRoles/data/Nail Technician.pt
O&M Electrical & Instrumentation Technician- Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/O&M Electrical & Instrumentation Technician- Wind Power Plant.pt
O&M Mechanical Technician-Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/O&M Mechanical Technician-Wind Power Plant.pt
Office Assistant,./utils/embeddings/PMKVY_JobRoles/data/Office Assistant.pt
Office Operations Executive,./utils/embeddings/PMKVY_JobRoles/data/Office Operations Executive.pt
Oilseed Crop Grower,./utils/embeddings/PMKVY_JobRoles/data/Oilseed Crop Grower.pt
Open-End Spinning Tenter,./utils/embeddings/PMKVY_JobRoles/data/Open-End Spinning Tenter.pt
Operator - Mobile Equipment,./utils/embeddings/PMKVY_JobRoles/data/Operator - Mobile Equipment.pt
Operator - Plasma Cutter,./utils/embeddings/PMKVY_JobRoles/data/Operator - Plasma Cutter.pt
Operator Plastic Extrusion Machine,./utils/embeddings/PMKVY_JobRoles/data/Operator Plastic Extrusion Machine.pt
Operator- Plastic 3D printing,./utils/embeddings/PMKVY_JobRoles/data/Operator- Plastic 3D printing.pt
Optical Fiber Splicer,./utils/embeddings/PMKVY_JobRoles/data/Optical Fiber Splicer.pt
Optical Fiber Technician,./utils/embeddings/PMKVY_JobRoles/data/Optical Fiber Technician.pt
Organic Farm & Business Promoter,./utils/embeddings/PMKVY_JobRoles/data/Organic Farm & Business Promoter.pt
Organic Grower,./utils/embeddings/PMKVY_JobRoles/data/Organic Grower.pt
Ornamental Fish Farmer,./utils/embeddings/PMKVY_JobRoles/data/Ornamental Fish Farmer.pt
Package Design Engineer,./utils/embeddings/PMKVY_JobRoles/data/Package Design Engineer.pt
Packaging Designer,./utils/embeddings/PMKVY_JobRoles/data/Packaging Designer.pt
Packing Machine Worker-Food Processing,./utils/embeddings/PMKVY_JobRoles/data/Packing Machine Worker-Food Processing.pt
Panchakarma Assistant,./utils/embeddings/PMKVY_JobRoles/data/Panchakarma Assistant.pt
Pantry Associate,./utils/embeddings/PMKVY_JobRoles/data/Pantry Associate.pt
Paper Mache Products Artisan,./utils/embeddings/PMKVY_JobRoles/data/Paper Mache Products Artisan.pt
Patient Relations Associate,./utils/embeddings/PMKVY_JobRoles/data/Patient Relations Associate.pt
Paver Operator,./utils/embeddings/PMKVY_JobRoles/data/Paver Operator.pt
Payal Maker,./utils/embeddings/PMKVY_JobRoles/data/Payal Maker.pt
Payment and Transaction management,./utils/embeddings/PMKVY_JobRoles/data/Payment and Transaction management.pt
PCB Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/PCB Assembly Operator.pt
Pedicurist & Manicurist,./utils/embeddings/PMKVY_JobRoles/data/Pedicurist & Manicurist.pt
Personal Trainer (B&W),./utils/embeddings/PMKVY_JobRoles/data/Personal Trainer (B&W).pt
Pharmacovigilance Case- Processing (Incidents -adverse event using software including AI tools),./utils/embeddings/PMKVY_JobRoles/data/Pharmacovigilance Case- Processing (Incidents -adverse event using software including AI tools).pt
Physical Education Assistant (Primary Years),./utils/embeddings/PMKVY_JobRoles/data/Physical Education Assistant (Primary Years).pt
Pick And Place Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Pick And Place Assembly Operator.pt
Pipe Fitter (Power Plant),./utils/embeddings/PMKVY_JobRoles/data/Pipe Fitter (Power Plant).pt
Pipe Fitter – Oil & Gas-City Gas Distribution,./utils/embeddings/PMKVY_JobRoles/data/Pipe Fitter – Oil & Gas-City Gas Distribution.pt
Pirn Winding Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Pirn Winding Machine Operator.pt
Planner-Diamond processing,./utils/embeddings/PMKVY_JobRoles/data/Planner-Diamond processing.pt
Plant Biscuit Production Specialist,./utils/embeddings/PMKVY_JobRoles/data/Plant Biscuit Production Specialist.pt
Plant Nursery Associate,./utils/embeddings/PMKVY_JobRoles/data/Plant Nursery Associate.pt
Plastic Waste Segregator,./utils/embeddings/PMKVY_JobRoles/data/Plastic Waste Segregator.pt
Plumber - General,./utils/embeddings/PMKVY_JobRoles/data/Plumber - General.pt
Poultry Farm Supervisor- Breeder-Layer,./utils/embeddings/PMKVY_JobRoles/data/Poultry Farm Supervisor- Breeder-Layer.pt
Poultry Farm Supervisor- Broiler,./utils/embeddings/PMKVY_JobRoles/data/Poultry Farm Supervisor- Broiler.pt
Poultry Farm Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Poultry Farm Supervisor.pt
Prakriti Evaluator,./utils/embeddings/PMKVY_JobRoles/data/Prakriti Evaluator.pt
Pre- Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Pre- Assembly Operator.pt
Precision Farming Technician,./utils/embeddings/PMKVY_JobRoles/data/Precision Farming Technician.pt
Processed Food Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Processed Food Entrepreneur.pt
Processing Assistant -TSR,./utils/embeddings/PMKVY_JobRoles/data/Processing Assistant -TSR.pt
Processing Technician-RSS Rubber,./utils/embeddings/PMKVY_JobRoles/data/Processing Technician-RSS Rubber.pt
Product Assembly Assistant(Solar-LED),./utils/embeddings/PMKVY_JobRoles/data/Product Assembly Assistant(Solar-LED).pt
Product Manager - Web & Mobile,./utils/embeddings/PMKVY_JobRoles/data/Product Manager - Web & Mobile.pt
Production Assistant,./utils/embeddings/PMKVY_JobRoles/data/Production Assistant.pt
Production Engineer,./utils/embeddings/PMKVY_JobRoles/data/Production Engineer.pt
"Production Machine Operator- Active Pharmaceutical Ingredient (API)- Bulk Drug - Non Sterile Manufacturing, Non Sterile Packaging","./utils/embeddings/PMKVY_JobRoles/data/Production Machine Operator- Active Pharmaceutical Ingredient (API)- Bulk Drug - Non Sterile Manufacturing, Non Sterile Packaging.pt"
Professional Makeup Artist,./utils/embeddings/PMKVY_JobRoles/data/Professional Makeup Artist.pt
Programmable Logic Controller (PLC) Programmer and Troubleshooter,./utils/embeddings/PMKVY_JobRoles/data/Programmable Logic Controller (PLC) Programmer and Troubleshooter.pt
Project Assistant Planner - Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/Project Assistant Planner - Wind Power Plant.pt
Project Engineer - 5G Networks,./utils/embeddings/PMKVY_JobRoles/data/Project Engineer - 5G Networks.pt
Project Manager - Electronics,./utils/embeddings/PMKVY_JobRoles/data/Project Manager - Electronics.pt
Project Supervisor - City Gas Distribution (CGD),./utils/embeddings/PMKVY_JobRoles/data/Project Supervisor - City Gas Distribution (CGD).pt
Pump Operator-Mining,./utils/embeddings/PMKVY_JobRoles/data/Pump Operator-Mining.pt
Puppet Maker-Artisan,./utils/embeddings/PMKVY_JobRoles/data/Puppet Maker-Artisan.pt
Purchase Executive,./utils/embeddings/PMKVY_JobRoles/data/Purchase Executive.pt
Quality Analysis & Reliability Engineer,./utils/embeddings/PMKVY_JobRoles/data/Quality Analysis & Reliability Engineer.pt
Quality Control Inspector - Footwear,./utils/embeddings/PMKVY_JobRoles/data/Quality Control Inspector - Footwear.pt
Quality Manager - Electronics,./utils/embeddings/PMKVY_JobRoles/data/Quality Manager - Electronics.pt
Receiving Assistant,./utils/embeddings/PMKVY_JobRoles/data/Receiving Assistant.pt
Receptionist,./utils/embeddings/PMKVY_JobRoles/data/Receptionist.pt
Recruitment Executive,./utils/embeddings/PMKVY_JobRoles/data/Recruitment Executive.pt
Remote Helpdesk Technician,./utils/embeddings/PMKVY_JobRoles/data/Remote Helpdesk Technician.pt
Retail Cashier,./utils/embeddings/PMKVY_JobRoles/data/Retail Cashier.pt
Retail Merchandiser (Divyangjan)-LD,./utils/embeddings/PMKVY_JobRoles/data/Retail Merchandiser (Divyangjan)-LD.pt
Retail Outlet Attendant (Oil & Gas),./utils/embeddings/PMKVY_JobRoles/data/Retail Outlet Attendant (Oil & Gas).pt
Retail Pharmacy Management and Sales,./utils/embeddings/PMKVY_JobRoles/data/Retail Pharmacy Management and Sales.pt
Retail Sales Associate,./utils/embeddings/PMKVY_JobRoles/data/Retail Sales Associate.pt
Rig-Mounted Drill Operator,./utils/embeddings/PMKVY_JobRoles/data/Rig-Mounted Drill Operator.pt
Ring Frame Doffer,./utils/embeddings/PMKVY_JobRoles/data/Ring Frame Doffer.pt
Ring Frame Operator,./utils/embeddings/PMKVY_JobRoles/data/Ring Frame Operator.pt
Ring Frame Tenter,./utils/embeddings/PMKVY_JobRoles/data/Ring Frame Tenter.pt
Robotics Automation Lead,./utils/embeddings/PMKVY_JobRoles/data/Robotics Automation Lead.pt
Rooftop Solar Grid Junior Engineer,./utils/embeddings/PMKVY_JobRoles/data/Rooftop Solar Grid Junior Engineer.pt
Roto Artist,./utils/embeddings/PMKVY_JobRoles/data/Roto Artist.pt
Rubber Autoclave Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Autoclave Operator.pt
Rubber Calendaring Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Calendaring Supervisor.pt
Rubber Compression Moulding Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Compression Moulding Operator.pt
Rubber Extruder Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Extruder Operator.pt
Rubber Extrusion Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Extrusion Supervisor.pt
Rubber Injection Moulding Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Injection Moulding Operator.pt
Rubber Internal Mixer Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Internal Mixer Operator.pt
Rubber Mill Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Mill Operator.pt
Rubber Mixing Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Mixing Supervisor.pt
Rubber Moulding -Curing Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Moulding -Curing Supervisor.pt
Rubber Nursery Worker-General,./utils/embeddings/PMKVY_JobRoles/data/Rubber Nursery Worker-General.pt
Rubber Product Finishing Operator,./utils/embeddings/PMKVY_JobRoles/data/Rubber Product Finishing Operator.pt
Rubber Product Finishing Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Product Finishing Supervisor.pt
Rubber Product-Quality Assurance Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Product-Quality Assurance Supervisor.pt
Rubber Warehouse Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Rubber Warehouse Supervisor.pt
Safai Mitra,./utils/embeddings/PMKVY_JobRoles/data/Safai Mitra.pt
Safety Steward,./utils/embeddings/PMKVY_JobRoles/data/Safety Steward.pt
Safety Supervisor (OSHE),./utils/embeddings/PMKVY_JobRoles/data/Safety Supervisor (OSHE).pt
Sales Executive (Media Org),./utils/embeddings/PMKVY_JobRoles/data/Sales Executive (Media Org).pt
Sample Maker - Footwear,./utils/embeddings/PMKVY_JobRoles/data/Sample Maker - Footwear.pt
Saw Singulation Process Engineer,./utils/embeddings/PMKVY_JobRoles/data/Saw Singulation Process Engineer.pt
Script Researcher,./utils/embeddings/PMKVY_JobRoles/data/Script Researcher.pt
Sculpt Artist,./utils/embeddings/PMKVY_JobRoles/data/Sculpt Artist.pt
Search Engine Marketing Executive,./utils/embeddings/PMKVY_JobRoles/data/Search Engine Marketing Executive.pt
Search Engine Optimization Executive,./utils/embeddings/PMKVY_JobRoles/data/Search Engine Optimization Executive.pt
Security Analyst,./utils/embeddings/PMKVY_JobRoles/data/Security Analyst.pt
Security Infrastructure Specialist,./utils/embeddings/PMKVY_JobRoles/data/Security Infrastructure Specialist.pt
Security Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Security Supervisor.pt
Senior Beauty Therapist,./utils/embeddings/PMKVY_JobRoles/data/Senior Beauty Therapist.pt
Senior Wellness Neurotherapist,./utils/embeddings/PMKVY_JobRoles/data/Senior Wellness Neurotherapist.pt
Sericulturist,./utils/embeddings/PMKVY_JobRoles/data/Sericulturist.pt
Service Technician – Home Appliances,./utils/embeddings/PMKVY_JobRoles/data/Service Technician – Home Appliances.pt
Sewing Machine Operator - Knits,./utils/embeddings/PMKVY_JobRoles/data/Sewing Machine Operator - Knits.pt
Sewing Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Sewing Machine Operator.pt
Shipment Classification Agent,./utils/embeddings/PMKVY_JobRoles/data/Shipment Classification Agent.pt
Shrimp Farmer,./utils/embeddings/PMKVY_JobRoles/data/Shrimp Farmer.pt
Shuttering Carpenter (Elective- System Formwork - Conventional Formwork),./utils/embeddings/PMKVY_JobRoles/data/Shuttering Carpenter (Elective- System Formwork - Conventional Formwork).pt
Shuttering Carpenter,./utils/embeddings/PMKVY_JobRoles/data/Shuttering Carpenter.pt
Shuttle Loom Operator cum Pirn Winder- Power loom,./utils/embeddings/PMKVY_JobRoles/data/Shuttle Loom Operator cum Pirn Winder- Power loom.pt
Shuttleless Loom Operator- Airjet loom,./utils/embeddings/PMKVY_JobRoles/data/Shuttleless Loom Operator- Airjet loom.pt
Site - Reliability Analyst,./utils/embeddings/PMKVY_JobRoles/data/Site - Reliability Analyst.pt
Size Mixer,./utils/embeddings/PMKVY_JobRoles/data/Size Mixer.pt
Sizing Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Sizing Machine Operator.pt
Skid Steer Loader Operator,./utils/embeddings/PMKVY_JobRoles/data/Skid Steer Loader Operator.pt
Skiving Operator,./utils/embeddings/PMKVY_JobRoles/data/Skiving Operator.pt
Small Hydro Power Plant Technician-(Jal Urja Mitra),./utils/embeddings/PMKVY_JobRoles/data/Small Hydro Power Plant Technician-(Jal Urja Mitra).pt
Smartphone Assembly Technician,./utils/embeddings/PMKVY_JobRoles/data/Smartphone Assembly Technician.pt
Social Media Executive,./utils/embeddings/PMKVY_JobRoles/data/Social Media Executive.pt
Social Media Influencer,./utils/embeddings/PMKVY_JobRoles/data/Social Media Influencer.pt
Software Developer -Product Development,./utils/embeddings/PMKVY_JobRoles/data/Software Developer -Product Development.pt
Software Developer-IT Services,./utils/embeddings/PMKVY_JobRoles/data/Software Developer-IT Services.pt
Software Programmer,./utils/embeddings/PMKVY_JobRoles/data/Software Programmer.pt
Software Vulnerability-Penetration Tester,./utils/embeddings/PMKVY_JobRoles/data/Software Vulnerability-Penetration Tester.pt
Solar Cold Storage Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Solar Cold Storage Entrepreneur.pt
Solar EV Charging Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Solar EV Charging Entrepreneur.pt
Solar LED Technician,./utils/embeddings/PMKVY_JobRoles/data/Solar LED Technician.pt
Solar Lighting Assembler,./utils/embeddings/PMKVY_JobRoles/data/Solar Lighting Assembler.pt
Solar Panel Installation Technician,./utils/embeddings/PMKVY_JobRoles/data/Solar Panel Installation Technician.pt
Solar Photovoltaic Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Solar Photovoltaic Entrepreneur.pt
Solar Pump Technician,./utils/embeddings/PMKVY_JobRoles/data/Solar Pump Technician.pt
Solar PV Cell Manufacturing Technician,./utils/embeddings/PMKVY_JobRoles/data/Solar PV Cell Manufacturing Technician.pt
Solar PV Installation Helper,./utils/embeddings/PMKVY_JobRoles/data/Solar PV Installation Helper.pt
Solar PV Installer (Suryamitra),./utils/embeddings/PMKVY_JobRoles/data/Solar PV Installer (Suryamitra).pt
Solar PV Installer -Electrical,./utils/embeddings/PMKVY_JobRoles/data/Solar PV Installer -Electrical.pt
Solar PV Module Manufacturing Technician,./utils/embeddings/PMKVY_JobRoles/data/Solar PV Module Manufacturing Technician.pt
Solar Water Pumping Junior Engineer,./utils/embeddings/PMKVY_JobRoles/data/Solar Water Pumping Junior Engineer.pt
Solder Ball Attach - Process Engineer,./utils/embeddings/PMKVY_JobRoles/data/Solder Ball Attach - Process Engineer.pt
Sound Editor,./utils/embeddings/PMKVY_JobRoles/data/Sound Editor.pt
Spa Therapist,./utils/embeddings/PMKVY_JobRoles/data/Spa Therapist.pt
"Specialist- Quality Assurance (Pharma, Biological Products and Medical Devices) - Equipment Validation","./utils/embeddings/PMKVY_JobRoles/data/Specialist- Quality Assurance (Pharma, Biological Products and Medical Devices) - Equipment Validation.pt"
Speed Frame Operator - Tenter and Doffer,./utils/embeddings/PMKVY_JobRoles/data/Speed Frame Operator - Tenter and Doffer.pt
Spice Processing Technician v3,./utils/embeddings/PMKVY_JobRoles/data/Spice Processing Technician v3.pt
Sports Masseur,./utils/embeddings/PMKVY_JobRoles/data/Sports Masseur.pt
Squash and Juice Processing Technician,./utils/embeddings/PMKVY_JobRoles/data/Squash and Juice Processing Technician.pt
Sr. Associate - Desktop Publishing (DTP),./utils/embeddings/PMKVY_JobRoles/data/Sr. Associate - Desktop Publishing (DTP).pt
Sr. Associate-F & A Complex,./utils/embeddings/PMKVY_JobRoles/data/Sr. Associate-F & A Complex.pt
Sr. Jewellery Designer,./utils/embeddings/PMKVY_JobRoles/data/Sr. Jewellery Designer.pt
Stainless Steel Fabricator,./utils/embeddings/PMKVY_JobRoles/data/Stainless Steel Fabricator.pt
Still Photographer (Digital),./utils/embeddings/PMKVY_JobRoles/data/Still Photographer (Digital).pt
Stitching Operator - Footwear,./utils/embeddings/PMKVY_JobRoles/data/Stitching Operator - Footwear.pt
Stitching Operator - Goods and Garments,./utils/embeddings/PMKVY_JobRoles/data/Stitching Operator - Goods and Garments.pt
Stone Fixer - Imitation Jewellery,./utils/embeddings/PMKVY_JobRoles/data/Stone Fixer - Imitation Jewellery.pt
Store Keeper (Petroleum Products),./utils/embeddings/PMKVY_JobRoles/data/Store Keeper (Petroleum Products).pt
Storyboard Artist,./utils/embeddings/PMKVY_JobRoles/data/Storyboard Artist.pt
Street Food Vendor - Standalone,./utils/embeddings/PMKVY_JobRoles/data/Street Food Vendor - Standalone.pt
Supervisor (Plant & Machinery),./utils/embeddings/PMKVY_JobRoles/data/Supervisor (Plant & Machinery).pt
Supervisor Maintenance (Infrastructure Equipment),./utils/embeddings/PMKVY_JobRoles/data/Supervisor Maintenance (Infrastructure Equipment).pt
Supply Chain Associate,./utils/embeddings/PMKVY_JobRoles/data/Supply Chain Associate.pt
Supply Chain Executive,./utils/embeddings/PMKVY_JobRoles/data/Supply Chain Executive.pt
System Architect – 5G Cloud RAN,./utils/embeddings/PMKVY_JobRoles/data/System Architect – 5G Cloud RAN.pt
Tank Lorry Driver-Petroleum Products,./utils/embeddings/PMKVY_JobRoles/data/Tank Lorry Driver-Petroleum Products.pt
Tape Plant Operator,./utils/embeddings/PMKVY_JobRoles/data/Tape Plant Operator.pt
Tape Winder,./utils/embeddings/PMKVY_JobRoles/data/Tape Winder.pt
Tarakasi Jeweller,./utils/embeddings/PMKVY_JobRoles/data/Tarakasi Jeweller.pt
Technical Artist (AR-VR),./utils/embeddings/PMKVY_JobRoles/data/Technical Artist (AR-VR).pt
Technical Supervisor – Automatic Train Protection System (ATPS),./utils/embeddings/PMKVY_JobRoles/data/Technical Supervisor – Automatic Train Protection System (ATPS).pt
Technical Support Engineer,./utils/embeddings/PMKVY_JobRoles/data/Technical Support Engineer.pt
Technician 5G - Active Network Installation,./utils/embeddings/PMKVY_JobRoles/data/Technician 5G - Active Network Installation.pt
Technician Instrumentation,./utils/embeddings/PMKVY_JobRoles/data/Technician Instrumentation.pt
Technician – TQC for Plastic Materials & Products,./utils/embeddings/PMKVY_JobRoles/data/Technician – TQC for Plastic Materials & Products.pt
Technician –AutomaticTrain Protection System (ATPS),./utils/embeddings/PMKVY_JobRoles/data/Technician –AutomaticTrain Protection System (ATPS).pt
Telecom Customer Care Executive - Call Center-Relationship Center,./utils/embeddings/PMKVY_JobRoles/data/Telecom Customer Care Executive - Call Center-Relationship Center.pt
Telecom Customer Care Executive - Repair Center,./utils/embeddings/PMKVY_JobRoles/data/Telecom Customer Care Executive - Repair Center.pt
Telecom E-waste Handler,./utils/embeddings/PMKVY_JobRoles/data/Telecom E-waste Handler.pt
Telecom Rigger - 5G and Legacy Networks,./utils/embeddings/PMKVY_JobRoles/data/Telecom Rigger - 5G and Legacy Networks.pt
